epoch,loss,mae,val_loss,val_mae
0,0.015454663895070553,0.0857091024518013,0.0037990109995007515,0.04182400554418564
1,0.01147413533180952,0.07020319253206253,0.0027008100878447294,0.03438836336135864
2,0.010558782145380974,0.06585624814033508,0.0029144645668566227,0.03566300868988037
3,0.010052290745079517,0.06328169256448746,0.00233258749358356,0.03264978900551796
4,0.009601350873708725,0.06106826290488243,0.0020014867186546326,0.030160877853631973
5,0.009213290177285671,0.058890726417303085,0.0018442017026245594,0.028782613575458527
6,0.009026396088302135,0.057762958109378815,0.0016005379147827625,0.026098500937223434
7,0.009010187350213528,0.05746060982346535,0.0015072866808623075,0.02381843887269497
8,0.008904293179512024,0.05675960332155228,0.0015710326842963696,0.02549907937645912
9,0.008837413974106312,0.05634031817317009,0.0014277531299740076,0.023140104487538338
10,0.008817854337394238,0.05613074451684952,0.0013834093697369099,0.022832803428173065
11,0.008797230198979378,0.055951278656721115,0.0014156649122014642,0.02361951395869255
12,0.008762678131461143,0.055702485144138336,0.0014522044220939279,0.023965079337358475
13,0.00874998513609171,0.05555058270692825,0.0013683729339390993,0.021937435492873192
14,0.008749818429350853,0.0554814338684082,0.0014052963815629482,0.022824840620160103
15,0.008730169385671616,0.0553840808570385,0.0012943599140271544,0.02176697365939617
16,0.008725359104573727,0.05533730611205101,0.0013422213960438967,0.02159719355404377
17,0.008689823560416698,0.05506995692849159,0.0013702927390113473,0.022455351427197456
18,0.008695226162672043,0.0550677515566349,0.0013255621306598186,0.02255883999168873
19,0.008721301332116127,0.055181942880153656,0.0012684209505096078,0.021075347438454628
20,0.008678088895976543,0.05494479462504387,0.0012646786635741591,0.02065434865653515
21,0.00868956744670868,0.05498893931508064,0.001530575449578464,0.02513776160776615
22,0.008673173375427723,0.054940395057201385,0.001312894280999899,0.022293273359537125
23,0.008656827732920647,0.05472848564386368,0.001287556253373623,0.02107100747525692
24,0.008655854500830173,0.05473186448216438,0.001271926099434495,0.021424464881420135
25,0.008717656135559082,0.055020418018102646,0.0012421613791957498,0.02095353603363037
26,0.008639547973871231,0.05459647998213768,0.0012754691997542977,0.021155359223484993
27,0.00864866841584444,0.05461231246590614,0.0013373601250350475,0.022155731916427612
28,0.00864387210458517,0.05462389439344406,0.00141033879481256,0.022727498784661293
29,0.008634124882519245,0.05452945828437805,0.001251413021236658,0.020379703491926193
30,0.00866742990911007,0.054679419845342636,0.0012392426142469049,0.020825384184718132
31,0.0086416220292449,0.05459805205464363,0.0012162089115008712,0.020284736528992653
32,0.008627529256045818,0.054447419941425323,0.0012749119196087122,0.021282924339175224
33,0.008604868315160275,0.05436064675450325,0.0012377117527648807,0.020288707688450813
34,0.008625621907413006,0.054455433040857315,0.0012620912166312337,0.02150692790746689
35,0.008644931949675083,0.0545700304210186,0.0012331572361290455,0.02075861021876335
36,0.00861400831490755,0.05439409241080284,0.0012345846043899655,0.020612549036741257
